WaterbodyID,COMID_Final,Outlier_COMID,DIST_Catv2,DistCat_trim,Alkalinity_uEqL,Aluminum_ugL,Arsenic_ugL,Chloride_mgL,Color_Apparent_PCU,Color_True_PCU,Conductivity_uScm,Copper_ugL,DO_mgL,DO_SAT_pct,E_coli_CFU100mL,Enterococcus_CFU100mL,Fecal_Coliform_CFU100mL,Hardness_mgL,Iron_ugL,Lead_ugL,Manganese_ugL,pH_None,Selenium_ugL,Sodium_mgL,Temperature_Water_DegC,TN_mgL,TP_mgL,Zinc_ugL,Al2O3Cat,AvgPredEC,BFICat,ClayCat,ElevCat,InorgNWetDep_2008Cat,IWI_v2_1,K2OCat,KffactCat,Na2OCat,OmCat,pcSLOPE,PctForest2019Ws,PctImp2019Ws,PctUrban2019Ws,PctWetland2019Ws,RockNCat,RunoffCat,SandCat,TmeanCat,WetIndexCat,WsAreaSqKm
TtID_10294946,10294946,No,Strs,Strs,,,,,,,160,,9.75,88.5,364,,438,,,,,7.7,,,15.03333,,,,12.3681,49.90497238,47.8016,6.4096,224.6896,4.631,0.435972039,2.0182,0.2248,1.4876,0.7833,3.814415,66.11,2.01,4.24,3.52,146.86,862,45.4194,7.681578291,721.8047,16.8804
TtID_10294960,10294960,No,SomeStrs,Strs,,,,,,,151,,9.95,92.5,74.8,,70,,,,,7.7,,,11.95,,,,11.712,49.77348066,47,5.73,328.3784,4.6422,0.577084579,1.8901,0.26,1.4803,0.64,2.23619,81.76,0.89,1.71,1.85,152.686,862,41,7.254375697,671.8665,15.0246
TtID_10294964,10294964,No,Strs,Strs,,,,,,,125,,10.2,94,,,50,,,,,7.8,,,12.1,,,,12.4615,37.7198895,46.2482,5.7578,406.7121,4.7216,0.502236528,2.0805,0.2571,1.4686,0.7315,5.508111,75.88,1.08,2.06,0.39,149.9584,861.2641,41.0883,7.022369417,696.7022,6.723
TtID_10294972,10294972,No,Strs,Strs,,,,,,,209.33333,,8.25714,87,292,,454,,,,,7.55,,,17.65714,,,,13.2561,38.35359116,48.157,6.44,205.4694,4.615,0.546662332,2.5952,0.22,1.1973,0.79,3.485465,76.2,0.61,0.93,1.97,134.9954,862,45.66,7.765798221,701.7218,4.2579
TtID_10294986,10294986,No,Strs,Strs,,,,,,,,,,,23,,,,,,,,,,,,,,11.712,48.81436464,48,6.44,254.0445,4.6869,0.732025699,1.8901,0.22,1.4803,0.79,5.517482,86.69,0.43,0.72,4.57,154.2759,862,44.9273,7.402547359,849.5,17.2215
TtID_10294990,10294990,No,HighStrs,Strs,,,,,,,233,,7.74,79.1,112.06667,,254,,,,,7.16667,,,16.02857,,,,11.712,64.70662983,47.0054,5.7306,365.4988,4.6933,0.456365972,1.8901,0.26,1.4803,0.6403,1.662362,67.96,2.47,4.88,3.13,149.5416,862,41.084,7.153392581,713.1334,7.2621
TtID_10294992,10294992,No,Strs,Strs,,,,,15,15,158.9,,9.72727,98.90909,131,,140,,,,,7.59,,,15.85833,0.546,0.0094,,11.712,52.74917127,47.0593,5.73,356.38,4.8055,0.571815885,1.8901,0.26,1.4803,0.64,1.936199,77.16,1.27,2.52,2.6,141.1378,862,41,7.210277598,719.2506,10.0017
TtID_10294996,10294996,No,Strs,Strs,,10,0.5,39.2,14,,222.33333,0.80667,8.35,93.5,183.83333,,,,160,0.2,123.33333,7.53333,1,,19.2,0.422,0.0144,7.33333,11.7552,52.43370166,46.5659,5.73,452.8881,4.8159,0.543329111,1.9053,0.26,1.473,0.64,5.773258,74.81,1.65,3.22,3.91,138.8711,805.6854,41.0003,7.000987988,738.7775,2.9007
TtID_10294998,10294998,No,Strs,Strs,1333.12,,,,,,150.4,,9.56,97.8,122.83333,,,47,,,,7.84,,,17.64,,0.01033,,11.712,47.77016575,48.0818,6.4282,217.205,4.7116,0.517658951,1.8901,0.2204,1.4803,0.7875,0.842338,71.41,2.4,4.76,2.44,143.1729,862,45.5137,7.733708471,724.7471,8.7381
TtID_10295000,10295000,No,SomeStrs,Strs,,,,,,,159,,8.8,100,71,,,,,,,8,,,21.5,,,,11.712,48.11767956,48,6.3441,272.3304,4.7371,0.677181499,1.8901,0.2248,1.4803,0.7711,2.339306,80.82,0.94,1.81,3.1,145.3166,862,44.988,7.496915975,728.5724,6.0111
TtID_10295004,10295004,No,SomeStrs,Strs,,,,,24.6,19.4,78,,8.94545,94,341.4,,364,,,,,7.16,,,17.48333,0.2,0.0108,,11.712,48.57403315,47.797,5.8039,309.0131,4.7172,0.729933975,1.8901,0.241,1.4803,0.6572,0.072701,85.9,0.46,0.77,4.92,144.6656,862,41.5478,7.327482122,730.4565,15.7662
TtID_10295080,10295080,Yes,BestRef,Ref,,,,,,,87.9,,10.85,94,,,,,,,,7.7,,,9.5,,,,8.0463,70.43756906,46.7728,5.789,372.9196,4.6926,0.811487442,1.6176,0.2352,1.0444,1.0751,5.738394,95.49,0.11,0.13,0.89,149.6807,862,39.9859,7.012908262,676.517,6.8022
TtID_10295102,10295102,Yes,BestRef,Ref,278.62208,47.63,1,2,,22.5,31.95,10,9.96,98.15,,,,12.0785,184.65,1,7.233,7.23,,1.377,13.66,0.125,0.00871,50,15.1941,61.71436464,45.9596,5.8554,518.5,4.9695,0.815501151,2.8704,0.2301,1.6091,1.3689,6.198201,90.07,0.32,0.41,3.89,150.8833,862,39.751,6.280711314,700.824,17.4312
TtID_10295104,10295104,Yes,SubRef,Ref,566.92682,46.06154,1,7.132,,22.14286,67.85417,10.4,9.27556,95.38889,,,,17.21946,352.35042,1.36364,9.49408,7.27529,5,5.35893,13.40471,0.17786,0.01281,46.36364,13.2749,64.37624309,46,5.7448,368.8185,4.7729,0.70762539,2.7521,0.2463,1.5702,1.0565,1.56749,81.79,0.87,1.65,3.92,150.0134,862,39.429,6.863405735,710.0324,91.9953
TtID_10295116,10295116,No,Other,Other,,,,,,,,,,,47.4,,56,,,,,,,,,,,,12.8722,36.8679558,45.9035,5.73,292.5759,4.7484,0.617977019,2.0929,0.2574,1.6048,0.64,4.606416,81.2,0.77,1.35,2.8,149.6983,862,40.9143,7.355859058,684.2793,13.5342
TtID_10295120,10295120,No,SomeStrs,Strs,,,,,,,141,,8.6,95,,,,,,,,8.2,,,20.8,,,,13.3621,47.39944751,46.9415,7.1656,199.4285,4.6666,0.73493235,2.6577,0.2235,1.1808,0.8551,0.829553,87.47,0.49,0.85,2.03,135.0522,862,41.5189,7.790637394,694.9312,130.7124
TtID_10295124,10295124,No,Strs,Strs,,,,4.3,,,87.6,,12.64,101.6,103.96364,,,,,,,,,,5.6,,,,11.871,47.16077348,47.0733,3.9099,112.2524,4.6303,0.693639973,2.7441,0.2021,0.8523,0.9408,0.546685,86.85,0.5,0.88,2.41,136.6976,862,64.704,8.321589959,787.2291,137.1501
TtID_10295132,10295132,Yes,Ref,Ref,,,,,,,54,,10.55,96.5,,,29.5,,,,,7.4,,,11.45,,,,14.2851,39.00939227,46.9862,5.71,369.1132,4.7112,0.777211489,1.7921,0.23,2.3058,1.04,1.767668,90.66,0.41,0.74,2.32,167.02,862,38.76,7.073277992,670.2181,49.473
TtID_10295140,10295140,No,SomeStrs,Strs,,,,,,,75.9,,10,94,,,7.5,,,,,7.7,,,13.1,,,,12.6252,38.19060773,46.0279,5.9339,409.3771,4.6682,0.579220431,2.1787,0.2472,1.378,1.3073,3.511335,83.26,0.52,0.87,2.13,152.909,861.1155,41.5037,6.998376418,706.3019,19.5714
TtID_10295146,10295146,No,SomeStrs,Strs,,,,,,,104.5,,10.7,95,,,,,,,,7.7,,,10.9,,,,11.712,49.11878453,47.8016,6.282,282.3372,4.6314,0.718449435,1.8901,0.2329,1.4803,0.7558,2.687633,84.16,0.52,0.88,3.93,148.9346,862,44.5924,7.417911775,734.0728,8.7516
TtID_10295152,10295152,No,SomeStrs,Strs,1249.8,,,2.4,,,115.86667,,11.01429,95.92857,360,,167.51724,24.925,,,,7.62143,,,11.56111,,0.02182,,11.712,50.95414365,48.3218,6.44,219.4288,4.6296,0.614395936,1.8901,0.22,1.4803,0.79,3.346634,81.48,0.75,1.35,1.96,140.5787,862,45.66,7.683418595,729.243,30.3048
TtID_10295154,10295154,No,Strs,Strs,,,,,,,155.5,,10.55,97.25,,,128.75,,,,,7.75,,,12.3,,,,11.712,51.4801105,47.6621,6.187,307.221,4.6397,0.586245784,1.8901,0.2381,1.4803,0.7371,1.650666,78.8,0.87,1.6,1.26,148.4339,862,43.9711,7.339946892,709.5177,16.0191
TtID_10295156,10295156,No,Strs,Strs,1255.35467,,,,,,164.25,,10.075,94.75,175,,,48.66667,,,,7.6,,,13.775,,0.014,,11.712,57.96519337,47.8346,5.9639,319.6328,4.678,0.488776921,1.8901,0.2516,1.4803,0.6892,1.347976,74.34,1.63,3.22,2.27,145.0977,862,42.5441,7.293073323,694.5819,23.0409
TtID_10295244,10295244,No,HighStrs,Strs,,,,,,,,,,,43.10909,,,,,,,,,,,,,,14.4099,53.5281768,46,5.7509,237.4237,4.6472,0.749599233,1.4762,0.23,2.3708,1.1432,0.378226,84.65,0.86,1.59,5.65,169.7227,862,39.1052,7.534713175,741.69,807.246
TtID_10295254,10295254,No,Strs,Strs,,,,,,,,,,,41.88333,,,,,,,,,,,,,,14.5037,53.42375691,45.7861,5.71,246.007,4.5847,0.744745686,1.22,0.23,2.443,1.04,0.001,85.04,0.82,1.53,5.43,167.3299,862,38.76,7.607444753,797.949,879.7977
