"WaterbodyID","DistCat","DistCat_trim","DistCat2","Alkalinity_uEqL","Chla_ugL","Chloride_mgL","Conductivity_uScm","DO_bttm_mgL","DO_mean_1mBlwThrmclin_mgL","DO_mean_hypo_mgL","DO_mean_surf_mgL","DO_mgL","DO_SAT_pct","DOSAT_bttm_pct","DOSAT_mean_1mBlwThrmclin_pct","DOSAT_mean_hypo_pct","DOSAT_mean_surf_pct","NO3NO2_mgL","pH_bttm","pH_mean_1mBlwThrmclin","pH_mean_hypo","pH_mean_surf","pH_None","Temp_bttm_C","Temp_min_C","Temperature_Water_DegC","TN_mgL","TP_mgL","WsAreaSqKm","BFICat","ElevCat","Al2O3Cat","K2OCat","Na2OCat","PctImp2019Cat","KffactCat","InorgNWetDep_2008Cat","Tmean8110Cat","RunoffCat","SlopeCat","ClayCat","SandCat","OmCat","WetIndexCat","WetIndexWs","PctUrb2019Ws","PctFor2019Ws","PctWet2019Ws"
"TtID_5878253","Strs","Strs","Non_Ref",,,,,,,,,,,,,,,,,,,,,,,23.333333,,,15.1389,60.4674514,18.91112895,14.43111229,3.363332987,2.731667042,20.00190238,0.105453897,3.079039595,10.10322398,700,3.714760443,2.61065031,82.77535324,0.277758455,1008.640152,1008.640152,40.59806195,19.02383925,2.883300636
"TtID_5878275","SomeStrs","Strs","Non_Ref",333.28,6.86666666666667,31,,-0.2,,1.86666666666667,8.63333333333333,,,-2,,19.3666666666667,104,0.0633333333333333,6.3,,6.20761904766667,7.3,,8.96666666666667,8.96666666666667,,0.666666666666667,0.0187833333333333,3.1878,60.63410503,29.95108978,14.43111229,3.363332987,2.731667042,13.64737436,0.242487295,3.153733514,10.10113905,700,3.168902616,3.263043478,72.37549972,0.424426877,580.8269339,580.8269339,28.37380011,29.02315076,2.992659514
"TtID_5878285","SomeStrs","Strs","Non_Ref",,2.2,,,1.14285714285714,,1.007142857,9.2,,,12.8571428571429,,10.642857145,105,,6.5,,6.1761904765,7.01428571428571,,10.2714285714286,10.2714285714286,,0.922,0.1988,1.5939,60.91981931,19.43898363,14.43111229,3.363332987,2.731667042,10.53416149,0.269909656,3.172415655,10.20970483,700,3.178225391,3.29447205,70.47354602,0.47173913,747.1592321,747.1592321,23.77188029,28.06324111,1.411631846
"TtID_5878287","Strs","Strs","Non_Ref",433.264,5.7,37.6666666666667,,4.5,,,8.61666666666667,,,50,,,104.333333333333,0.443333333333333,6.36666666666667,,,6.85,,20.6,20.6,,0.663333333333333,0.00998333333333333,1.2879,61,30.15145353,14.43111229,3.363332987,2.731667042,15.75611461,0.27,3.199756042,10.18663016,700,3.250797926,3.338637317,69.79541579,0.482159329,671.137666,671.137666,33.47309574,22.22222222,0.559049616
"TtID_5878299","Strs","Strs","Non_Ref",522.138666666667,4.95,58,,0.625,3.64,3.315625,8.5,,,5.5,37.6,33.90625,104.125,0.636666666666667,6.3125,6.22,6.29270833325,7.68125,,12.0375,12.0375,,0.988333333333333,0.0110666666666667,5.715,61.20614173,9.63723622,14.43111229,3.363332987,2.731667042,43.93543307,0.110866142,2.979029158,10.16981451,700,2.174784674,2.49,83.96890551,0.27,934.04,934.04,74.31496063,8.818897638,2.393700787
"TtID_5878317","Strs","Strs","Non_Ref",433.264,35.81,,101.6,4.4375,,,9.9375,7.66491226315789,108.142857142857,48.125,,,115.1875,,7.3375,,,9.10625,8.9,21.1875,21.1875,23.56,0.988571428571429,0.0880652173913044,3.6135,61.30734745,22.20960897,14.43111229,3.363332987,2.731667042,12.82117061,0.27,3.220385144,10.25519344,700,3.603183245,3.359479452,69.24664508,0.487369863,961.2283935,961.2283935,28.01992528,35.01867995,2.440846824
"TtID_5878337","Strs","Strs","Non_Ref",,10.4,,128.614583333333,0.15,,,8.813333333,7.43763541666667,,,,,,0.005,6.33,,,8.413333333,7.82482641666667,19.6,19.6,25.9788194166667,0.391,0.012,16.3071,61,12.63233333,14.43111229,3.363332987,2.731667042,24.49358974,0.11,3.101383332,10.1834222,700,2.064628269,2.49,84,0.27,1062.594872,1011.683261,42.09945361,17.84866714,2.687786302
"TtID_5878343","Strs","Strs","Non_Ref",,,,,,,,,7.5,,,,,,,,,,,,,,18.35,,,32.8932,61,16.99767705,14.43111229,3.363332987,2.731667042,20.85835694,0.22315864,3.178533812,10.26689949,700,4.260794693,3.146883853,74.65720963,0.438895184,801.233711,926.822781,22.56758236,48.97942432,1.091715005
"TtID_5878349","Strs","Strs","Non_Ref",155.47,16.69,26.767,103.644444444444,5.16666666666667,4.7,5.70357142825,8.81111111111111,4.776,54.4444444444444,66.75,,83.33333333,103.5,,6.24444444444444,6.3,6.2678571425,7.64444444444444,7.19462966666667,20.7444444444444,20.7444444444444,19.059,0.627222222222222,0.125099866666667,6.4737,60.91423545,32.76626008,14.43111229,3.363332987,2.731667042,14.8259786,0.268833016,3.212303828,10.1721118,700,3.238612488,3.224214924,71.24488198,0.453553731,562.6588477,557.549145,32.97650494,43.37550396,1.042680384
"TtID_5878361","SomeStrs","Strs","Non_Ref",,,,,,,,,7.33333333333333,,,,,,,,,,,,,,25,,,0.3726,62,25.7507971,14.43111229,3.363332987,2.731667042,5.560386473,0.27,3.253633022,10.2479749,700,4.915681691,3.37,68.81,0.49,651.6328502,651.6328502,12.07729469,57.48792271,0.241545894
